listing_id,city,neighbourhood,property_type,bedrooms,bathrooms,area_sqm,building_age_years,floor,has_generator,has_borehole,tiled,gated_security,furnished,listed_on,listing_source,monthly_rent_xaf
LS-00164,Yaounde,Golf,chambre moderne,2,3,63.8,0,1,FALSE,TRUE,TRUE,TRUE,FALSE,2026-04-26,informal,219794
LS-02883,Douala,Akwa,apartment,1,2,42.8,0,3,FALSE,FALSE,TRUE,TRUE,FALSE,2025-09-18,portal,222273
LS-03740,Douala,Akwa,villa,3,3,77.3,13,4,TRUE,TRUE,FALSE,FALSE,FALSE,2025-12-17,agency,196239
LS-03477,Douala,Ndokoti,studio,4,3,360.3,19,1,FALSE,FALSE,TRUE,FALSE,FALSE,2026-06-02,informal,
LS-00633,Douala,Ndokoti,apartment,2,2,58.9,14,1,FALSE,FALSE,FALSE,FALSE,FALSE,04/07/2026,portal,101872
LS-02512,Yaounde,Bastos,apartment,1,1,67.1,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,2025-08-14,portal,264249
LS-05639,Yaounde,Etoudi,duplex,1,2,21.9,6,2,FALSE,FALSE,TRUE,TRUE,FALSE,2025-12-18,informal,87973
LS-06085,Douala,Bonanjo,apartment,3,3,108.1,2,1,TRUE,FALSE,TRUE,FALSE,FALSE,2025-08-08,informal,
LS-04351,Yaounde,Nkolbisson,villa,1,1,57.4,24,0,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-13,agency,71871
LS-04330,Douala,Deido,villa,2,2,87.0,18,1,FALSE,FALSE,FALSE,FALSE,FALSE,2026-08-06,agency,248571
LS-04606,Yaounde,Golf,villa,1,2,44.9,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,15/12/2025,agency,193953
LS-03253,Yaounde,Bastos,apartment,2,2,69.4,27,4,TRUE,FALSE,TRUE,TRUE,FALSE,2026-02-22,agency,230271
LS-01660,Yaounde,Bastos,duplex,1,1,32.0,8,1,FALSE,TRUE,TRUE,TRUE,FALSE,2025-08-04,portal,177050
LS-00871,Yaounde,Nsam,chambre moderne,2,2,74.6,6,1,TRUE,FALSE,FALSE,FALSE,FALSE,2025-10-01,informal,214038
LS-01394,Douala,Ndokoti,apartment,1,2,44.4,9,3,FALSE,FALSE,TRUE,FALSE,FALSE,2026-08-24,agency,97484
LS-01483,Douala,New Bell,apartment,1,1,36.9,13,2,FALSE,TRUE,FALSE,FALSE,FALSE,09/12/2025,informal,69614
LS-03779,Douala,Bonamoussadi,chambre moderne,2,2,72.2,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,23/05/2026,portal,318766
LS-04596,Douala,Makepe,chambre moderne,2,1,74.6,16,3,FALSE,FALSE,TRUE,FALSE,TRUE,2025-08-14,portal,161774
LS-00022,Douala,Bonamoussadi,apartment,1,1,54.7,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,2025-12-09,agency,114213
LS-02198,Douala,PK14,apartment,0,1,16.2,33,3,TRUE,FALSE,FALSE,FALSE,FALSE,2025-09-04,informal,
LS-02568,Yaounde,Emana,apartment,1,1,53.7,28,4,TRUE,FALSE,FALSE,FALSE,FALSE,2025-12-03,agency,65101
LS-03290,Douala,Logpom,apartment,4,3,113.4,9,3,FALSE,FALSE,FALSE,FALSE,TRUE,2025-08-28,agency,345290
LS-00376,Douala,Bonapriso,chambre moderne,1,1,45.8,0,4,TRUE,FALSE,TRUE,TRUE,FALSE,2026-01-19,agency,203100
LS-05773,Yaounde,Golf,apartment,3,3,104.1,15,2,TRUE,FALSE,FALSE,TRUE,FALSE,2026-06-26,informal,
LS-02577,Douala,Bonamoussadi,villa,2,3,86.6,29,0,FALSE,TRUE,TRUE,FALSE,TRUE,2026-03-21,agency,253878
LS-04096,Douala,Bonamoussadi,apartment,1,1,33.6,17,0,FALSE,FALSE,TRUE,TRUE,FALSE,2026-03-17,portal,92472
LS-04861,Yaounde,Biyem-Assi,studio,1,2,49.7,21,3,FALSE,FALSE,TRUE,FALSE,FALSE,2025-10-31,portal,52075
LS-04920,Douala,Ndokoti,apartment,2,2,65.6,8,0,FALSE,TRUE,TRUE,FALSE,FALSE,30/08/2025,informal,98627
LS-03754,Yaounde,Mendong,duplex,4,3,126.3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-24,agency,279900
