neighbourhood,city,distance_to_cbd_km,mains_water_pct,tarred_road_pct,flood_prone
Bonapriso,Douala,10.8,71,73,no
Bonanjo,Douala,7.7,65,68,no
Akwa,Douala,7.3,56,59,FALSE
Bonamoussadi,Douala,2.1,53,56,yes
Makepe,Douala,7.0,49,53,FALSE
Logpom,Douala,8.5,44,48,no
Deido,Douala,11.8,39,43,no
Bepanda,Douala,7.1,33,38,no
New Bell,Douala,12.5,28,33,FALSE
Ndokoti,Douala,15.5,29,33,TRUE
PK14,Douala,11.6,25,30,FALSE
Bonaberi,Douala,10.2,31,36,FALSE
Bastos,Yaounde,0.5,73,75,yes
Golf,Yaounde,4.0,61,64,no
Omnisport,Yaounde,11.6,51,54,no
Mvan,Yaounde,9.6,35,39,FALSE
Nsam,Yaounde,11.0,32,36,FALSE
Etoudi,Yaounde,13.6,37,42,FALSE
Mvog-Betsi,Yaounde,10.0,33,38,FALSE
Biyem-Assi,Yaounde,7.8,37,41,TRUE
Mendong,Yaounde,7.9,30,35,no
Nkolbisson,Yaounde,8.1,27,32,FALSE
Emana,Yaounde,8.6,25,30,TRUE
Mimboman,Yaounde,12.7,26,31,no
