listing_id,city,area_sqm,monthly_rent_xaf
LS-05246,Yaounde,143.7,1277258
LS-00697,Douala,146.7,989796
LS-02663,Yaounde,194.3,349859
LS-01447,Douala,141.1,840450
LS-02660,Yaounde,143.5,885044
LS-01877,Douala,187.8,700259
LS-00216,Yaounde,150.1,1184751
LS-02343,Douala,130.4,992469
LS-01761,Douala,117.6,849939
LS-05931,Yaounde,134.9,898154
LS-06109,Douala,127.2,912574
LS-02446,Yaounde,159.1,1436051
LS-05839,Yaounde,159.0,1417582
LS-01878,Douala,132.2,1120839
LS-03075,Douala,108.92,837517
LS-01254,Douala,149.6,882463
LS-02336,Douala,171.9,1351094
LS-01015,Douala,151.1,1251858
LS-02394,Yaounde,172.4,1460527
LS-00685,Douala,403.1,1829120
LS-03299,Douala,141.3,1159755
LS-04152,Yaounde,124.6,980266
LS-02118,Yaounde,132.5,872749
LS-05157,Yaounde,117.1,958368
LS-03232,Douala,146.1,853877
LS-04720,Douala,136.9,870327
LS-01089,Douala,147.4,1094294
LS-04084,Douala,120.2,1098931
LS-03162,Douala,203.0,392340
LS-02546,Douala,135.5,894764
LS-03011,Douala,357.3,1572054
LS-01409,Yaounde,224.2,513179
LS-05348,Yaounde,250.1,1020523
LS-02561,Yaounde,137.1,915586
LS-02232,Yaounde,157.9,891728
LS-05789,Douala,169.7,1355506
LS-04684,Yaounde,170.2,944954
LS-04909,Yaounde,162.9,952529
LS-05964,Douala,168.8,1419405
LS-03357,Douala,143.9,1125209
LS-05037,Douala,218.1,733607
LS-02592,Douala,138.3,853466
LS-03928,Douala,156.2,960773
LS-02518,Douala,146.42,1077514
LS-02485,Douala,156.4,1042325
LS-03790,Douala,102.8,868413
LS-01592,Yaounde,139.3,994518
LS-04430,Douala,126.1,848039
LS-03018,Yaounde,138.4,841391
LS-04937,Yaounde,146.6,931325
LS-01293,Yaounde,166.2,844322
LS-05947,Douala,145.9,1228402
LS-00715,Douala,323.1,3244078
LS-02716,Douala,123.7,1166987
LS-01298,Douala,449.5,1759254
LS-04029,Douala,136.6,1073851
LS-05005,Yaounde,131.7,970254
LS-04746,Yaounde,131.0,1069811
LS-00401,Yaounde,149.5,1207839
LS-00502,Yaounde,133.0,1021437
LS-01491,Yaounde,168.5,848930
LS-04431,Yaounde,133.2,1084970
LS-03166,Douala,131.9,913094
LS-01158,Yaounde,131.3,1197042
LS-04373,Douala,138.0,888451
LS-02334,Yaounde,150.9,853830
LS-05111,Yaounde,115.0,912760
LS-05937,Yaounde,130.3,901097
LS-04296,Douala,415.6,3330680
LS-04356,Douala,156.8,1091869
LS-03794,Yaounde,135.6,1130122
LS-01198,Yaounde,143.3,926465
LS-05916,Yaounde,167.6,903278
LS-04474,Yaounde,169.9,1073412
LS-03334,Douala,139.4,889448
LS-04260,Yaounde,300.9,906273
LS-05304,Yaounde,175.5,1020149
LS-03548,Douala,149.12,852180
LS-05467,Douala,344.1,3791412
LS-03331,Yaounde,140.4,942737
LS-04343,Douala,172.1,1446357
LS-02756,Douala,134.1,1079089
LS-04968,Douala,105.3,920824
LS-05807,Yaounde,133.0,873068
LS-01529,Douala,155.02,886053
LS-01540,Douala,161.6,1512107
LS-05912,Yaounde,289.22,891642
LS-02180,Yaounde,164.1,1037927
LS-04884,Douala,132.6,876354
LS-03171,Yaounde,155.7,941531
LS-01492,Douala,317.3,1353953
LS-02057,Yaounde,151.1,961180
LS-04680,Douala,132.0,959365
LS-00065,Douala,250.9,1232354
LS-05552,Yaounde,156.1,2077480
LS-04713,Douala,133.9,1358431
LS-05616,Douala,170.1,847883
LS-01572,Yaounde,160.5,1375219
LS-03696,Douala,149.9,1092326
LS-05162,Yaounde,215.3,929147
LS-04093,Yaounde,156.9,1014806
LS-01426,Douala,144.8,885953
LS-04756,Yaounde,132.4,899703
LS-04901,Yaounde,158.4,1119380
LS-06172,Yaounde,124.1,918466
LS-04797,Yaounde,128.7,878484
LS-01451,Yaounde,165.7,2190968
LS-05666,Douala,144.3,913816
LS-04816,Douala,159.2,1076865
LS-00977,Yaounde,262.4,391793
