neighbourhood,count,median,q1,q3,iqr
Akwa,224,223963.0,142103.75,403132.75,261029.0
Bastos,268,280389.5,182256.75,469728.25,287471.5
Bepanda,225,150550.0,90686.0,232410.0,141724.0
Biyem-Assi,241,153088.0,99703.0,273882.0,174179.0
Bonaberi,223,140555.0,90434.5,225011.0,134576.5
Bonamoussadi,272,217221.5,144607.75,351755.5,207147.75
Bonanjo,226,273762.0,181715.0,410916.5,229201.5
Bonapriso,243,273563.0,175199.5,422505.5,247306.0
Deido,236,172090.0,109341.0,301690.5,192349.5
Emana,224,125324.5,79580.25,199523.0,119942.75
Etoudi,234,146664.0,95939.0,245053.75,149114.75
Golf,241,244363.0,153144.0,382647.0,229503.0
Logpom,218,185701.5,122111.0,320298.25,198187.25
Makepe,230,193314.5,125004.75,297035.75,172031.0
Mendong,245,141357.0,94295.0,244004.0,149709.0
Mimboman,240,122621.0,79518.75,190199.5,110680.75
Mvan,226,147783.0,100715.0,232463.5,131748.5
Mvog-Betsi,234,135990.0,95020.0,227131.0,132111.0
Ndokoti,246,139748.0,81739.75,224454.5,142714.75
New Bell,257,122027.0,85987.0,210553.0,124566.0
Nkolbisson,232,111260.0,75812.0,191552.25,115740.25
Nsam,219,145596.0,91280.0,210196.5,118916.5
Omnisport,253,190427.0,131465.0,343453.0,211988.0
PK14,257,108561.0,73680.0,159501.0,85821.0
